Mass	Nams	qb	qm	qc	qh	qp
74.01879	"dimethylsiloxane Den"	FALSE	FALSE	FALSE	FALSE	FALSE
78.95906	"Phosphoric acid CON00079"	FALSE	FALSE	TRUE	TRUE	FALSE
79.92616	"bromide Den"	FALSE	FALSE	TRUE	FALSE	FALSE
79.95737	"Sulphuric acid CON00108"	FALSE	FALSE	FALSE	TRUE	FALSE
81.92412	"bromide81 Den"	FALSE	FALSE	FALSE	FALSE	FALSE
84.99071	HCOONaH2O	FALSE	TRUE	TRUE	TRUE	FALSE
88.98803	HCOOHCO2	FALSE	TRUE	TRUE	TRUE	FALSE
89.02445	[CH3CH(OH)COO]-	FALSE	TRUE	TRUE	TRUE	FALSE
91.00368	[HCOOH]2	FALSE	TRUE	TRUE	FALSE	FALSE
94.98084	"Methanesulfonate CON00040"	FALSE	TRUE	TRUE	TRUE	TRUE
96.96011	"Sulfate anion"	FALSE	TRUE	TRUE	TRUE	TRUE
96.96962	"Phosphoric acid CON00079"	FALSE	TRUE	TRUE	TRUE	TRUE
97.96738	"sulfuric acid Den"	FALSE	FALSE	FALSE	FALSE	FALSE
97.97689	"phosphate Den"	FALSE	FALSE	FALSE	FALSE	FALSE
98.94906	ClO4-	FALSE	TRUE	TRUE	TRUE	FALSE
100.94611	ClO4-+Iso	FALSE	TRUE	TRUE	TRUE	FALSE
105.01941	[CH3COOH+HCOO]-	FALSE	TRUE	TRUE	TRUE	FALSE
112.98559	"Trifluoroacetic acid/CalAgilent CON00117"	FALSE	TRUE	TRUE	TRUE	TRUE
112.98563	"Formate cluster C2H3NaO4"	FALSE	TRUE	TRUE	TRUE	FALSE
113.98898	"Formate cluster C2H3NaO4 +C13"	FALSE	TRUE	TRUE	TRUE	FALSE
119.03506	"CalAgilent DEn"	FALSE	TRUE	FALSE	FALSE	FALSE
120.9310	NaClO4	FALSE	FALSE	FALSE	FALSE	FALSE
122.9281	NaClO4+Iso	FALSE	FALSE	FALSE	FALSE	FALSE
126.90503	"Iodine anion (Iodide) CON00038"	FALSE	TRUE	TRUE	TRUE	TRUE
127	TFANa	FALSE	TRUE	FALSE	TRUE	FALSE
133.00885	"[(H2O)2+ CH3COOH+37Cl]-"	FALSE	TRUE	FALSE	FALSE	FALSE
141.00157	Den	TRUE	FALSE	FALSE	FALSE	FALSE
141.0197	"Acetate adducts of a fluorinated polymer (PTFE)"	FALSE	FALSE	TRUE	TRUE	TRUE
149.04577	[CH3COOH+CH3CH(OH)COO]-	FALSE	TRUE	FALSE	TRUE	FALSE
152.97813	[HCOONa]2H2O	FALSE	TRUE	FALSE	FALSE	FALSE
157.0087	(CH3COOH)2+37Cl	FALSE	FALSE	FALSE	TRUE	FALSE
162.98239	"Pentafluoropropionic acid CON00077"	FALSE	TRUE	TRUE	TRUE	TRUE
171.00526	Den	TRUE	FALSE	FALSE	FALSE	FALSE
171.02773	[CH3COONa+CH3CH(OH)COO]-	FALSE	FALSE	FALSE	FALSE	FALSE
179.05636	[(CH3COOH)2+CH3COO]-	FALSE	TRUE	TRUE	TRUE	FALSE
180.97305	"Formate cluster C3H4Na2O6"	FALSE	TRUE	TRUE	FALSE	FALSE
181.9764	"Formate cluster C3H4Na2O6 +C13"	FALSE	FALSE	FALSE	TRUE	FALSE
182.9886	C3H2O2F6	FALSE	TRUE	FALSE	TRUE	FALSE
200.96528	HCOOHHCOONa[CO2]2	FALSE	TRUE	FALSE	TRUE	FALSE
209.06625	[(CH3COOH)2+CH3CH(OH)COO]-	FALSE	FALSE	FALSE	FALSE	FALSE
