Substructure.type	Abbreviated.name	Formula	Add	Rem	Monoisotopic_mass	Positive.mode	Negative.mode	Reference	MF
bromides	[Br]	Br	Br		78.9183	0	0	4	Br;
glutathione	"[GSH GluAlaGly-2H]"	C10H15N3O6	C10H15N3O6		273.0961	1	1	1	C10H15N3O6;
glutathione	"[GSH GluAlaGly]"	C10H17N3O6	C10H17N3O6		275.1117	1	0	1	C10H17N3O6;
glutathione	[GSH]	C10H17N3O6S	C10H17N3O6S		307.0838	1	0	1	C10H17N3O6S;
"ferulic acid"	[Feruloyl]		C10H8O3		176.0473	1	1	2	C10H8O3;
digalactosyldiacylglycerol	[DGDG_341]	C12H23NO10	C12H23NO10		341.1322	1	0	4	C12H23NO10;
acetyl;mercapturate	"[Acetyl kete;NAcCys_Acetylkete_42]"	C2H2O	C2H2O		42.0106	1	1	1	C2H2O;
"naphthoxylcarboxylic acid"	[C2H2O2]	C2H2O2	C2H2O2		58.0055	1	0	4	C2H2O2;
hydroxyanthraquinones	[H2O+CO+CO]	C2H2O3	C2H2O3		74.0004	0	0	4	C2H2O3;
hydroxytriazines	[HCNO+CH2N2]	C2H3N3O	C2H3N3O		85.0276	0	1	4	C2H3N3O;
"n-methyl carbamate"	"[Methyl isocyanate]"	C2H3NO	C2H3NO		57.0215	1	0	4	C2H3NO;
acetate_na	[Acetate_Na]		C2H3O2Na		82.0031	1	1	2	C2H3O2Na;
triazines	[C2H4]		C2H4		28.0313	1	1	2	C2H4;
"acetate;alpha_beta-unsaturated acids"	[Acetate]	C2H4O2	C2H4O2		60.0211	1	0	4	C2H4O2;
acetate;phosphatidylcholine	[Acetate;HCOO+CH3]	C2H4O2	C2H4O2		60.0211	0	1	4	C2H4O2;
"ethyl derivatives"	[C2H5]		C2H5		29.0391	1	1	2	C2H5;
mercapturate	[NAcCys_Acetamide_59]	C2H5NO	C2H5NO		59.0371	1	0	1	C2H5NO;
glycine;glutathione	[Gly;GSH_Gly]	C2H5NO2	C2H5NO2		75.032	1	1	1	C2H5NO2;
"aromatic dimethylamines"	[N(CH3)2]	C2H6N	C2H6N		44.05	0	0	4	C2H6N;
"ethyl derivatives"	[EtOH]	C2H6O	C2H6O		46.0419	1	1	2	C2H6O;
amitriptyline	[C2H7N]	C2H7N	C2H7N		45.0578	1	0	4	C2H7N;
taurine	[Taurine]		C2H7NO3S		125.0147	1	0	2	C2H7NO3S;
phosphatidylethanolamine	[PE_141]	C2H8NO4P	C2H8NO4P		141.0191	1	0	3	C2H8NO4P;
TFA	[TFA]		C2HF3O2		113.9929	1	1	2	C2HF3O2;
aminoanthrachinones	[HCN+CO]	C2HNO	C2HNO		55.0058	1	0	4	C2HNO;
anthraquinones	[CO+CO+H]	C2HO2	C2HO2		56.9977	1	0	4	C2HO2;
