Mass	Nams	qb	qm	qc	qh	qp
100.07569	C5H10NO	FALSE	TRUE	TRUE	TRUE	TRUE
101.00316	C2H6OS	FALSE	TRUE	FALSE	FALSE	TRUE
102.05496	(CH3CN)n(CH3COOH)m	FALSE	TRUE	TRUE	TRUE	TRUE
102.12773	C6H15N	FALSE	TRUE	TRUE	TRUE	TRUE
103.9556	[ACN+65/63Cu(I)]+	TRUE	TRUE	FALSE	FALSE	FALSE
104.99229	AcetaNa	FALSE	FALSE	FALSE	FALSE	TRUE
105.04232	ACN	FALSE	FALSE	FALSE	TRUE	TRUE
105.95379	[ACN+65/63Cu(I)]+	TRUE	FALSE	FALSE	FALSE	FALSE
107.07027	[C2H4O]nH2O	FALSE	FALSE	TRUE	TRUE	TRUE
115.08659	Acetonitrile/Dimethylformamide	FALSE	FALSE	TRUE	TRUE	TRUE
118.08625	CalAgilent	TRUE	TRUE	TRUE	TRUE	TRUE
121.05087	CalAgilent	FALSE	FALSE	FALSE	FALSE	FALSE
122.08117	TRIS	TRUE	TRUE	TRUE	TRUE	TRUE
122.96435	AcetaNa	FALSE	FALSE	FALSE	FALSE	TRUE
123.09167	Dimethylaminopyridine	TRUE	FALSE	TRUE	TRUE	TRUE
129.05222	[C2H4O]nH2O	FALSE	TRUE	FALSE	FALSE	TRUE
130.15903	Diisopropylethylamine	TRUE	TRUE	TRUE	TRUE	TRUE
135.10157	[C3H6O]nH2O	FALSE	FALSE	TRUE	TRUE	FALSE
144.17468	C9H21N	FALSE	TRUE	FALSE	FALSE	FALSE
144.98215	[ACN*2+65/63Cu(I)]+	FALSE	TRUE	TRUE	TRUE	TRUE
146.98035	[ACN*2+65/63Cu(I)]+	TRUE	TRUE	TRUE	TRUE	TRUE
147.1128	(CH3CN)n(CH3OH)m	FALSE	TRUE	TRUE	TRUE	TRUE
149.02331	"Phthalic anhydride/CalAgilent"	TRUE	TRUE	TRUE	TRUE	TRUE
150.12773	Phenyldiethylamine	FALSE	FALSE	FALSE	FALSE	TRUE
151.09649	[C2H4O]nH2O	FALSE	TRUE	FALSE	FALSE	TRUE
153.13863	1,8-Diazabicycloundec-7-ene	FALSE	FALSE	FALSE	FALSE	TRUE
157.08352	[C3H6O]nH2O	FALSE	TRUE	TRUE	FALSE	TRUE
158.96403	NaTFA	FALSE	FALSE	FALSE	FALSE	FALSE
158.96407	C2HNa3O4	FALSE	FALSE	FALSE	FALSE	FALSE
159.96742	C2HNa3O4+C13	FALSE	FALSE	FALSE	FALSE	FALSE
163.03897	C10H10O4	FALSE	TRUE	TRUE	TRUE	FALSE
163.13287	DGBE	FALSE	FALSE	TRUE	TRUE	TRUE
173.07843	[C2H4O]nH2O	FALSE	TRUE	TRUE	TRUE	TRUE
181.1223	"Butylated hydroxyanisole"	TRUE	TRUE	TRUE	TRUE	TRUE
185.11482	C8H18O3	FALSE	TRUE	TRUE	FALSE	TRUE
186.22163	"Tributylamine, solvent"	FALSE	FALSE	TRUE	TRUE	TRUE
189.05237	[C2H4O]nH2O	FALSE	TRUE	FALSE	FALSE	TRUE
